,Municipality,Type[1],County[2],Form of government[1],Population (2020)[2],Total area,,,Year established[3]
111,Groton,Town,Middlesex,"$72,451.00 ","$155,252.00 ","$192,593.00 ",3235,11254
112,Groveland,Town,Essex,"$50,812.00 ","$121,711.00 ","$139,074.00 ",2532,6739
113,Hadley,Town,Hampshire,"$50,856.00 ","$101,458.00 ","$124,856.00 ",2254,5293
114,Halifax,Town,Plymouth,"$42,742.00 ","$98,264.00 ","$107,306.00 ",2930,7737
115,Hamilton,Town,Essex,"$50,599.00 ","$116,699.00 ","$135,488.00 ",2567,7617
116,Hampden,Town,Hampden,"$44,474.00 ","$99,400.00 ","$109,740.00 ",2016,4991
117,Hancock,Town,Berkshire,"$37,505.00 ","$74,167.00 ","$102,969.00 ",296,749
118,Hanover,Town,Plymouth,"$59,268.00 ","$149,048.00 ","$165,064.00 ",4744,14742
119,Hanson,Town,Plymouth,"$51,071.00 ","$112,315.00 ","$128,464.00 ",3920,10601
120,Hardwick,Town,Worcester,"$34,931.00 ","$71,429.00 ","$103,152.00 ",1028,2713
121,Harwich,Town,Barnstable,"$60,260.00 ","$124,755.00 ","$148,558.00 ",5733,13329
122,Hatfield,Town,Hampshire,"$42,739.00 ","$76,688.00 ","$102,025.00 ",1490,3315
123,Haverhill,City,Essex,"$44,056.00 ","$83,570.00 ","$106,692.00 ",22808,67093
124,Hawley,Town,Franklin,"$46,608.00 ","$70,625.00 ","$88,750.00 ",139,379
125,Heath,Town,Franklin,"$42,410.00 ","$97,704.00 ","$84,688.00 ",314,728
126,Hingham,Town,Plymouth,"$91,263.00 ","$154,300.00 ","$222,016.00 ",9252,24061
127,Hinsdale,Town,Berkshire,"$32,877.00 ","$65,911.00 ","$83,320.00 ",779,1866
128,Holbrook,Town,Norfolk,"$41,324.00 ","$89,763.00 ","$115,168.00 ",4712,11344
129,Holden,Town,Worcester,"$50,674.00 ","$124,638.00 ","$143,611.00 ",7180,19659
130,Holland,Town,Hampden,"$48,470.00 ","$90,638.00 ","$110,761.00 ",968,2591
131,Holliston,Town,Middlesex,"$66,563.00 ","$142,348.00 ","$166,912.00 ",5485,14891
132,Holyoke,City,Hampden,"$25,744.00 ","$45,045.00 ","$54,321.00 ",15062,38480
133,Hopedale,Town,Worcester,"$46,266.00 ","$113,300.00 ","$121,136.00 ",2116,6012
134,Hopkinton,Town,Middlesex,"$85,400.00 ","$179,192.00 ","$221,683.00 ",6556,18501
135,Hubbardston,Town,Worcester,"$41,663.00 ","$105,938.00 ","$120,000.00 ",1586,4338
136,Hudson,Town,Middlesex,"$48,829.00 ","$94,191.00 ","$129,472.00 ",8035,20032
137,Hull,Town,Plymouth,"$63,148.00 ","$117,120.00 ","$143,603.00 ",4380,10120
138,Huntington,Town,Hampshire,"$34,276.00 ","$68,542.00 ","$90,446.00 ",911,2205
139,Ipswich,Town,Essex,"$66,285.00 ","$111,701.00 ","$144,861.00 ",5573,13740
140,Kingston,Town,Plymouth,"$48,940.00 ","$103,945.00 ","$133,281.00 ",5321,13618
141,Lakeville,Town,Plymouth,"$47,341.00 ","$112,240.00 ","$126,250.00 ",4162,11514
142,Lancaster,Town,Worcester,"$40,875.00 ","$109,963.00 ","$119,321.00 ",2818,8428
143,Lanesborough,Town,Berkshire,"$41,710.00 ","$75,156.00 ","$84,531.00 ",1368,3043
144,Lawrence,City,Essex,"$23,316.00 ","$47,542.00 ","$52,283.00 ",30291,87798
145,Lee,Town,Berkshire,"$39,400.00 ","$73,750.00 ","$104,091.00 ",2306,5784
146,Leicester,Town,Worcester,"$37,653.00 ","$83,015.00 ","$104,744.00 ",3924,11077
147,Lenox,Town,Berkshire,"$47,510.00 ","$71,117.00 ","$97,969.00 ",2211,5089
148,Leominster,City,Worcester,"$34,523.00 ","$84,120.00 ","$100,343.00 ",17896,43478
149,Leverett,Town,Franklin,"$55,346.00 ","$97,188.00 ","$103,375.00 ",708,1794
150,Lexington,Town,Middlesex,"$96,170.00 ","$202,852.00 ","$235,039.00 ",12301,34235
151,Leyden,Town,Franklin,"$47,244.00 ","$97,625.00 ","$101,705.00 ",259,651
152,Lincoln,Town,Middlesex,"$92,567.00 ","$145,833.00 ","$169,574.00 ",2566,6941
153,Littleton,Town,Middlesex,"$75,401.00 ","$129,132.00 ","$174,779.00 ",6283,12483
154,Longmeadow,Town,Hampden,"$74,126.00 ","$148,010.00 ","$173,250.00 ",5662,15863
155,Lowell,City,Middlesex,"$36,534.00 ","$75,130.00 ","$89,761.00 ",42285,114804
156,Ludlow,Town,Hampden,"$49,193.00 ","$103,498.00 ","$129,170.00 ",8567,21050
157,Lunenburg,Town,Worcester,"$45,145.00 ","$101,205.00 ","$113,596.00 ",4432,11627
158,Lynn,City,Essex,"$29,541.00 ","$63,922.00 ","$75,627.00 ",36280,100233
159,Lynnfield,Town,Essex,"$67,303.00 ","$147,237.00 ","$167,700.00 ",4536,12874
160,Malden,City,Middlesex,"$30,620.00 ","$64,489.00 ","$77,946.00 ",32285,65602
161,Mansfield,Town,Bristol,"$55,451.00 ","$122,274.00 ","$143,500.00 ",8707,23768
162,Marblehead,Town,Essex,"$81,072.00 ","$154,049.00 ","$193,086.00 ",8075,20397
163,Marion,Town,Plymouth,"$73,957.00 ","$99,456.00 ","$143,202.00 ",1632,5293
164,Marlborough,City,Middlesex,"$44,775.00 ","$86,230.00 ","$108,694.00 ",17147,41505
165,Marshfield,Town,Plymouth,"$52,025.00 ","$109,841.00 ","$136,099.00 ",10094,25793
166,Mashpee,Town,Barnstable,"$48,569.00 ","$83,563.00 ","$113,231.00 ",6603,14996
167,Maynard,Town,Middlesex,"$55,372.00 ","$112,432.00 ","$147,701.00 ",4269,10702
168,Medfield,Town,Norfolk,"$88,348.00 ","$196,820.00 ","$229,076.00 ",4373,12775
169,Medford,City,Middlesex,"$39,485.00 ","$94,298.00 ","$125,828.00 ",28321,60708
170,Medway,Town,Norfolk,"$66,559.00 ","$147,257.00 ","$164,737.00 ",4681,13105
171,Melrose,City,Middlesex,"$44,361.00 ","$100,337.00 ","$115,069.00 ",15621,29567
172,Mendon,Town,Worcester,"$51,840.00 ","$133,850.00 ","$156,676.00 ",2076,6212
173,Merrimac,Town,Essex,"$43,144.00 ","$88,832.00 ","$116,908.00 ",2589,6698
174,Methuen,City,Essex,"$42,944.00 ","$72,884.00 ","$90,663.00 ",18803,52536
175,Middleborough,Town,Plymouth,"$43,754.00 ","$81,809.00 ","$92,684.00 ",9727,24219
176,Middlefield,Town,Hampshire,"$46,890.00 ","$73,636.00 ","$78,958.00 ",164,342
177,Middleton,Town,Essex,"$59,179.00 ","$140,511.00 ","$159,509.00 ",3122,9726
178,Milford,Town,Worcester,"$41,540.00 ","$89,332.00 ","$103,785.00 ",11446,30134
179,Millbury,Town,Worcester,"$50,498.00 ","$95,184.00 ","$115,398.00 ",6292,16245
180,Millis,Town,Norfolk,"$55,899.00 ","$131,138.00 ","$143,050.00 ",3078,8481
181,Millville,Town,Worcester,"$44,560.00 ","$82,131.00 ","$104,500.00 ",1275,3166
182,Milton,Town,Norfolk,"$66,359.00 ","$115,807.00 ","$157,660.00 ",8781,28382
183,Monson,Town,Hampden,"$41,590.00 ","$72,305.00 ","$90,302.00 ",3422,8210
184,Montague,Town,Franklin,"$33,442.00 ","$65,925.00 ","$88,706.00 ",3765,8565
185,Montgomery,Town,Hampden,"$52,281.00 ","$104,500.00 ","$122,813.00 ",366,898
186,Mount Washington,Town,Berkshire,"$45,724.00 ","$92,917.00 ","$94,167.00 ",77,161
187,Nahant,Town,Essex,"$62,128.00 ","$161,076.00 ","$172,515.00 ",1515,3334
188,Nantucket,Town,Nantucket,"$77,003.00 ","$116,406.00 ","$181,484.00 ",4031,13795
189,Natick,Town,Middlesex,"$67,267.00 ","$122,914.00 ","$159,380.00 ",10243,36627
190,Needham,Town,Norfolk,"$87,067.00 ","$182,813.00 ","$225,747.00 ",11260,31808
191,New Ashford,Town,Berkshire,"$43,074.00 ","$68,500.00 ","$83,750.00 ",90,223
192,New Bedford,City,Bristol,"$27,583.00 ","$50,581.00 ","$62,189.00 ",41395,100309
193,New Braintree,Town,Worcester,"$42,015.00 ","$86,667.00 ","$98,750.00 ",430,1052
194,New Marlborough,Town,Berkshire,"$45,768.00 ","$73,571.00 ","$109,167.00 ",652,1573
195,New Salem,Town,Franklin,"$36,675.00 ","$71,221.00 ","$72,500.00 ",452,1072
196,Newbury,Town,Essex,"$71,508.00 ","$152,356.00 ","$160,268.00 ",2533,6745
197,Newburyport,City,Essex,"$61,696.00 ","$153,971.00 ","$189,419.00 ",7537,18282
198,Newton,City,Middlesex,"$81,020.00 ","$164,607.00 ","$201,924.00 ",21038,88647
199,Norfolk,Town,Norfolk,"$52,240.00 ","$168,281.00 ","$179,354.00 ",2967,11531
200,North Adams,City,Berkshire,"$31,428.00 ","$48,575.00 ","$65,903.00 ",5540,13024
201,North Andover,Town,Essex,"$71,327.00 ","$94,375.00 ","$111,667.00 ",628,1468
202,North Attleborough,Town,Bristol,"$47,877.00 ","$97,967.00 ","$129,573.00 ",12273,30557
203,North Brookfield,Town,Worcester,"$38,700.00 ","$77,313.00 ","$88,869.00 ",1883,4757
204,North Reading,Town,Middlesex,"$61,653.00 ","$124,196.00 ","$127,358.00 ",5848,15549
205,Northampton,City,Hampshire,"$41,663.00 ","$72,687.00 ","$105,741.00 ",11949,29379
206,Northborough,Town,Worcester,"$62,946.00 ","$129,780.00 ","$161,601.00 ",5821,15863
207,Northbridge,Town,Worcester,"$43,333.00 ","$97,206.00 ","$116,343.00 ",6364,16291
208,Northfield,Town,Franklin,"$41,106.00 ","$83,750.00 ","$89,483.00 ",1213,2899
209,Norton,Town,Bristol,"$45,590.00 ","$109,375.00 ","$124,310.00 ",6489,19270
210,Norwell,Town,Plymouth,"$68,728.00 ","$136,875.00 ","$207,813.00 ",3180,11258
211,Norwood,Town,Norfolk,"$54,645.00 ","$96,414.00 ","$120,146.00 ",13002,31256
212,Oak Bluffs,Town,Dukes,"$51,258.00 ","$94,545.00 ","$125,982.00 ",1766,5284
213,Oakham,Town,Worcester,"$39,893.00 ","$85,078.00 ","$89,167.00 ",625,1621
214,Orange,Town,Franklin,"$28,966.00 ","$53,448.00 ","$76,912.00 ",2982,7622
215,Orleans,Town,Barnstable,"$63,651.00 ","$79,250.00 ","$115,409.00 ",2989,6276
216,Otis,Town,Berkshire,"$49,186.00 ","$93,316.00 ","$98,125.00 ",694,1460
217,Oxford,Town,Worcester,"$45,471.00 ","$72,124.00 ","$93,259.00 ",4800,13399
218,Palmer,Town,Hampden,"$35,844.00 ","$70,090.00 ","$81,753.00 ",5207,12434
219,Paxton,Town,Worcester,"$49,419.00 ","$123,958.00 ","$145,469.00 ",1588,5005
220,Peabody,City,Essex,"$36,180.00 ","$55,938.00 ","$70,189.00 ",22208,54200
221,Pelham,Town,Hampshire,"$49,128.00 ","$97,917.00 ","$125,114.00 ",543,1280
222,Pembroke,Town,Plymouth,"$53,499.00 ","$130,015.00 ","$152,776.00 ",6861,18329
223,Pepperell,Town,Middlesex,"$48,499.00 ","$112,043.00 ","$127,468.00 ",4361,11671
224,Peru,Town,Berkshire,"$40,332.00 ","$74,464.00 ","$86,979.00 ",325,744
225,Petersham,Town,Worcester,"$40,275.00 ","$77,500.00 ","$104,306.00 ",458,1141
226,Phillipston,Town,Worcester,"$36,890.00 ","$88,289.00 ","$91,298.00 ",716,1948
227,Pittsfield,City,Berkshire,"$37,356.00 ","$59,522.00 ","$77,469.00 ",19290,43890
228,Plainfield,Town,Hampshire,"$41,148.00 ","$70,750.00 ","$78,250.00 ",281,676
229,Plainville,Town,Norfolk,"$51,092.00 ","$96,932.00 ","$114,853.00 ",4144,9760
230,Plymouth,City,Plymouth,"$57,027.00 ","$82,470.00 ","$110,833.00 ",24985,60987
231,Plympton,Town,Plymouth,"$47,235.00 ","$118,098.00 ","$118,696.00 ",989,2934
232,Princeton,Town,Worcester,"$63,289.00 ","$148,438.00 ","$150,043.00 ",1298,3502
233,Provincetown,Town,Barnstable,"$50,384.00 ","$79,432.00 ","$99,063.00 ",1862,3582
234,Quincy,City,Norfolk,"$44,919.00 ","$82,500.00 ","$97,361.00 ",44515,100544
235,Randolph,City,Norfolk,"$39,488.00 ","$87,869.00 ","$98,813.00 ",12150,34661
236,Raynham,Town,Bristol,"$46,231.00 ","$96,830.00 ","$122,533.00 ",5460,14957
237,Reading,Town,Middlesex,"$68,526.00 ","$101,487.00 ","$121,963.00 ",8926,25483
238,Rehoboth,Town,Bristol,"$45,110.00 ","$115,156.00 ","$128,533.00 ",4377,12434
239,Revere,City,Suffolk,"$33,749.00 ","$73,041.00 ","$84,176.00 ",21647,60720
240,Richmond,Town,Berkshire,"$46,695.00 ","$90,208.00 ","$123,646.00 ",21346,30671
241,Rochester,Town,Plymouth,"$51,107.00 ","$110,736.00 ","$125,294.00 ",2035,5676
242,Rockland,Town,Plymouth,"$38,962.00 ","$90,315.00 ","$108,325.00 ",6654,17774
243,Rockport,Town,Essex,"$63,306.00 ","$118,814.00 ","$146,156.00 ",3305,7014
244,Rolwey,Town,Essex,"$46,676.00 ","$79,641.00 ","$101,612.00 ",5733,6234
245,Rowe,Town,Franklin,"$32,844.00 ","$70,179.00 ","$74,167.00 ",165,434
246,Royalston,Town,Worcester,"$36,955.00 ","$89,417.00 ","$106,250.00 ",551,1461
247,Russell,Town,Hampden,"$38,273.00 ","$89,464.00 ","$98,401.00 ",555,1385
248,Rutland,Town,Worcester,"$46,331.00 ","$132,000.00 ","$148,810.00 ",3052,8988
249,Salem,City,Essex,"$58,437.00 ","$108,896.00 ","$119,739.00 ",10326,44819
250,Salisbury,Town,Essex,"$49,861.00 ","$92,048.00 ","$109,840.00 ",3885,9152
251,Sandisfield,Town,Berkshire,"$38,200.00 ","$80,179.00 ","$82,813.00 ",318,901
252,Sandwich,Town,Barnstable,"$56,895.00 ","$124,354.00 ","$141,250.00 ",7918,20369
253,Saugus,Town,Essex,"$43,997.00 ","$93,737.00 ","$106,145.00 ",10581,28521
254,Savoy,Town,Berkshire,"$31,726.00 ","$51,250.00 ","$65,341.00 ",330,708
255,Scituate,Town,Plymouth,"$70,543.00 ","$72,904.00 ","$96,979.00 ",7549,19016
256,Seekonk,Town,Bristol,"$48,651.00 ","$100,041.00 ","$117,016.00 ",5969,15339
257,Sharon,Town,Norfolk,"$71,247.00 ","$157,928.00 ","$173,170.00 ",6395,18477
258,Sheffield,Town,Berkshire,"$59,482.00 ","$71,818.00 ","$96,034.00 ",1456,3318
259,Shelburne,Town,Franklin,"$47,442.00 ","$72,236.00 ","$94,662.00 ",711,1436
260,Sherborn,Town,Middlesex,"$96,081.00 ","$218,906.00 ","$242,443.00 ",1515,4406
261,Shirley,Town,Middlesex,"$40,933.00 ","$111,875.00 ","$120,565.00 ",2345,7400
262,Shrewsbury,Town,Worcester,"$54,673.00 ","$88,377.00 ","$117,147.00 ",19231,38291
263,Shutesbury,Town,Franklin,"$47,474.00 ","$86,339.00 ","$97,321.00 ",767,1788
264,Somerset,Town,Bristol,"$47,396.00 ","$96,967.00 ","$105,638.00 ",7248,18271
265,Somerville,City,Middlesex,"$36,257.00 ","$61,811.00 ","$84,722.00 ",39745,79816
266,South Hadley,Town,Hampshire,"$47,848.00 ","$115,890.00 ","$130,084.00 ",6002,18051
267,Southampton,Town,Hampshire,"$47,105.00 ","$110,200.00 ","$122,379.00 ",2318,6158
268,Southborough,Town,Worcester,"$82,164.00 ","$170,223.00 ","$204,514.00 ",3579,10380
269,Southbridge Town,City,Worcester,"$29,962.00 ","$50,414.00 ","$67,975.00 ",7094,17643
270,Southwick,Town,Hampden,"$46,337.00 ","$72,500.00 ","$96,250.00 ",3648,9292
271,Spencer,Town,Worcester,"$39,729.00 ","$68,559.00 ","$91,285.00 ",5186,11963
272,Springfield,City,Hampden,"$23,161.00 ","$43,308.00 ","$54,646.00 ",58344,155770
273,Sterling,Town,Worcester,"$59,851.00 ","$119,000.00 ","$126,039.00 ",3248,8015
274,Stockbridge,Town,Berkshire,"$44,851.00 ","$46,458.00 ","$93,542.00 ",811,1827
275,Stoneham,Town,Middlesex,"$44,665.00 ","$73,849.00 ","$111,667.00 ",9578,23077
276,Stoughton,Town,Norfolk,"$44,380.00 ","$94,823.00 ","$114,453.00 ",11277,29028
277,Stow,Town,Middlesex,"$62,810.00 ","$147,841.00 ","$155,811.00 ",2646,7130
278,Sturbridge,Town,Worcester,"$44,638.00 ","$95,917.00 ","$111,650.00 ",3890,9806
279,Sudbury,Town,Middlesex,"$86,008.00 ","$217,847.00 ","$228,426.00 ",6208,18912
280,Sunderland,Town,Franklin,"$45,461.00 ","$84,830.00 ","$124,500.00 ",1478,3667
281,Sunderland,Town,Franklin,"$35,832.00 ","$58,750.00 ","$97,031.00 ",1666,3667
282,Sutton,Town,Worcester,"$54,994.00 ","$111,610.00 ","$137,283.00 ",8356,9334
283,Swampscott,Town,Essex,"$63,595.00 ","$114,086.00 ","$143,320.00 ",6093,15043
284,Swansea,Town,Bristol,"$44,108.00 ","$101,703.00 ","$112,873.00 ",6752,17020
285,Taunton,City,Bristol,"$33,862.00 ","$66,787.00 ","$85,478.00 ",23159,59076
286,Templeton,Town,Worcester,"$43,748.00 ","$97,550.00 ","$104,250.00 ",3063,8145
287,Tewksbury,Town,Middlesex,"$50,133.00 ","$111,696.00 ","$131,781.00 ",12025,31153
288,Tolland,Town,Hampden,"$60,086.00 ","$91,771.00 ","$112,857.00 ",193,405
289,Topsfield,Town,Essex,"$56,556.00 ","$155,208.00 ","$182,111.00 ",2202,6530
290,Townsend,Town,Middlesex,"$47,880.00 ","$121,936.00 ","$132,304.00 ",15498,41995
291,Truro,Town,Barnstable,"$55,990.00 ","$146,250.00 ","$162,439.00 ",1004,1987
292,Tyngsborough,Town,Middlesex,"$50,573.00 ","$131,944.00 ","$149,760.00 ",4022,12377
293,Tyringham,Town,Berkshire,"$56,308.00 ","$112,083.00 ","$132,321.00 ",207,541
294,Upton,Town,Worcester,"$47,248.00 ","$82,984.00 ","$106,222.00 ",3168,7986
295,Uxbridge,Town,Worcester,"$58,791.00 ","$125,229.00 ","$162,083.00 ",4996,14159
296,Wakefield,Town,Middlesex,"$51,645.00 ","$78,884.00 ","$106,466.00 ",10849,27041
297,Wales,Town,Hampden,"$40,283.00 ","$86,354.00 ","$100,208.00 ",813,1996
298,Walpole,Town,Norfolk,"$57,066.00 ","$138,821.00 ","$170,250.00 ",9156,26413
299,Waltham,City,Middlesex,"$44,491.00 ","$94,063.00 ","$114,680.00 ",24943,64655
300,Ware,Town,Hampshire,"$31,641.00 ","$59,317.00 ","$78,910.00 ",4557,10067
301,Wareham,Town,Plymouth,"$45,409.00 ","$96,672.00 ","$110,265.00 ",10280,23149
302,Warren,Town,Worcester,"$45,634.00 ","$85,041.00 ","$102,999.00 ",1899,4999
303,Warwick,Town,Franklin,"$38,944.00 ","$75,179.00 ","$100,000.00 ",319,762
304,Washington,Town,Berkshire,"$43,253.00 ","$79,375.00 ","$81,146.00 ",246,501
305,Watertown,City,Middlesex,"$38,159.00 ","$72,563.00 ","$89,393.00 ",16027,35171
306,Wayland,Town,Middlesex,"$86,947.00 ","$203,789.00 ","$234,051.00 ",4779,13859
307,Webster,Town,Worcester,"$53,208.00 ","$114,916.00 ","$144,255.00 ",6384,17776
308,Wellesley,Town,Norfolk,"$97,262.00 ","$226,250.00 ","$250,000+",8668,29365
309,Wellfleet,Town,Barnstable,"$59,393.00 ","$120,954.00 ","$160,025.00 ",1736,4305
310,Wendell,Town,Franklin,"$33,452.00 ","$61,182.00 ","$78,333.00 ",411,916
311,Wenham,Town,Essex,"$53,093.00 ","$154,375.00 ","$166,719.00 ",1291,5006
312,West Boylston,Town,Worcester,"$44,185.00 ","$91,780.00 ","$113,459.00 ",2825,7874
313,West Bridgewater,Town,Plymouth,"$45,627.00 ","$111,964.00 ","$131,033.00 ",2726,7622
314,West Brookfield,Town,Worcester,"$41,812.00 ","$83,079.00 ","$89,301.00 ",1535,3814
315,West Springfield,City,Hampden,"$38,318.00 ","$60,023.00 ","$83,912.00 ",12734,28814
316,West Stockbridge,Town,Berkshire,"$48,741.00 ","$83,571.00 ","$97,554.00 ",488,1164
317,Westborough,Town,Worcester,"$46,536.00 ","$76,859.00 ","$97,765.00 ",7980,21213
318,Westfield,City,Hampden,"$36,635.00 ","$73,692.00 ","$92,373.00 ",15292,40922
319,Westford,Town,Middlesex,"$65,574.00 ","$123,813.00 ","$149,596.00 ",14678,24535
320,Westhampton,Town,Hampshire,"$49,362.00 ","$91,652.00 ","$95,909.00 ",645,1567
321,Westminster,Town,Worcester,"$47,496.00 ","$107,738.00 ","$123,611.00 ",3122,8148
322,Weston,Town,Middlesex,"$107,793.00 ","$220,815.00 ","$250,000+",3731,11806
323,Westport,Town,Bristol,"$45,279.00 ","$85,019.00 ","$102,962.00 ",6782,16245
324,Westwood,Town,Norfolk,"$75,396.00 ","$171,071.00 ","$204,657.00 ",5424,16066
325,Weymouth,City[7],Norfolk,"$46,645.00 ","$91,592.00 ","$119,420.00 ",24400,57437
326,Whately,Town,Franklin,"$63,974.00 ","$88,533.00 ","$97,102.00 ",681,1660
327,Whitman,Town,Plymouth,"$40,764.00 ","$94,919.00 ","$110,593.00 ",5684,15116
328,Wilbraham,Town,Hampden,"$53,651.00 ","$123,750.00 ","$140,833.00 ",5365,14600
329,Williamsburg,Town,Hampshire,"$49,695.00 ","$93,438.00 ","$97,115.00 ",1168,2623
330,Williamstown,Town,Berkshire,"$49,915.00 ","$86,780.00 ","$112,049.00 ",2242,7678
331,Wilmington,Town,Middlesex,"$53,283.00 ","$117,909.00 ","$143,614.00 ",13808,36271
332,Winchendon,Town,Worcester,"$40,192.00 ","$69,525.00 ","$93,286.00 ",3745,10371
333,Winchester,Town,Middlesex,"$90,356.00 ","$184,844.00 ","$242,143.00 ",8149,22875
334,Windsor,Town,Berkshire,"$55,548.00 ","$99,063.00 ","$121,875.00 ",392,984
335,Winthrop,City,Suffolk,"$37,560.00 ","$95,682.00 ","$141,198.00 ","8, 539",19088
336,Woburn,City,Middlesex,"$39,692.00 ","$68,274.00 ","$85,333.00 ",15165,40967
337,Worcester,City,Worcester,"$30,855.00 ","$56,746.00 ","$71,265.00 ",78780,203867
338,Worthington,Town,Hampshire,"$50,236.00 ","$86,023.00 ","$90,673.00 ",513,1048
339,Wrentham,Town,Norfolk,"$62,721.00 ","$147,201.00 ","$165,308.00 ",4480,12077
340,Yarmouth,Town,Barnstable,"$55,098.00 ","$107,853.00 ","$132,007.00 ",10704,24890